#  GBr_GRr           G
     2.72425       9.9077 
    0.671976      3.70927 
     3.06375      11.6537 
    0.780435      4.33818 
     2.05028      8.41423 
     3.25139      12.3106 
     2.68775      10.3218 
      3.6732      13.2465 
     3.78173      13.3452 
    0.829506      4.63261 
   -0.375471      10.6781 
     0.75653      4.26103 
   -0.285754      11.0843 
     2.67802      9.82232 
     3.15993      16.6776 
     2.15062      8.65514 
     2.21979      8.86454 
      2.8034      10.4059 
     2.85343      11.7844 
     2.12696      7.33002 
    0.654491      2.96545 
     2.07179      8.43916 
     2.81027      10.4329 
     1.06403      5.72045 
     1.47809      6.10165 
     3.19358       11.137 
     2.76269      10.4195 
     2.93367      11.2279 
     1.60521      6.70357 
     0.35146      2.02619 
     3.13542      10.8666 
   -0.439093      10.3991 
     1.08946      5.76502 
     2.27839      8.95313 
     2.73328      10.1771 
     2.39461      8.45936 
     1.90366      7.26651 
   -0.196317      11.6204 
     3.69998      13.3678 
     3.35978      12.4648 
     1.29129      6.46007 
     2.79414      10.7237 
    0.359938      1.97611 
    0.999823      5.42056 
     1.15555      14.7818 
    0.275559      1.52244 
     3.17278       11.481 
    0.704448       4.1791 
      1.3896      6.67492 
     3.69762      13.4245 
     3.05927      11.6586 
     1.13839       5.6299 
     1.30807      6.24246 
     3.12025      10.7867 
     2.81881      10.7114 
    0.597102       3.1882 
    0.230237      1.10115 
     3.75484      13.6554 
     3.66316      13.3541 
     2.92291      11.0288 
    0.436251      2.25545 
     1.03545      5.63249 
     3.57652      13.1438 
     2.01406      8.59699 
     2.68885      10.1195 
    0.724791      4.07374 
     3.29869      11.3215 
   -0.315089       10.891 
     1.44497      6.24779 
     2.92016      11.1028 
     2.98348       10.321 
    0.630882      3.57124 
     1.27908       5.7272 
     4.06161      14.2648 
     1.48373       7.0094 
     3.19032      11.7018 
     2.46283      9.54751 
    0.910517      5.07093 
    0.650307      3.42234 
    0.806175      4.50597 
     3.83485      13.3558 
     1.65056      7.37088 
      3.3861        12.57 
     1.27851      6.36964 
     1.67074      7.46272 
     3.06811       11.435 
     2.84589      11.3791 
     2.21003      8.83341 
     2.68643      8.52283 
    0.829148      4.36496 
     3.58527      13.0174 
     2.29557      11.1909 
    0.386074      2.11864 
     3.07033      10.7594 
     3.26044      13.8646 
    0.599757      3.30289 
     1.23609      6.28136 
    0.224162      1.40665 
     3.05034      11.6151 
     2.50992      9.61009 
     2.69846      9.37145 
     1.85162      7.90374 
     3.20505      11.4585 
     1.48047      6.95189 
     1.49014       6.9463 
      3.0259      11.3205 
      2.0518      8.33329 
