#  GBr_GRr          G           Gapp
     1.51586      7.14095      12.8025 
     3.11929       11.346      17.0075 
     3.15009      11.3378      16.9994 
     2.93861      10.9006      16.5622 
     1.77433      7.91018      13.5718 
        3.04      10.3609      16.0225 
     2.98246       10.282      15.9436 
     1.05619      4.96571      10.6273 
     2.47625      9.41476      15.0763 
      3.6458      12.4319      18.0935 
     1.25277      6.30654      11.9681 
     2.11871      8.59743       14.259 
     2.78442       9.6322      15.2938 
     1.02932      5.35005      11.0116 
    0.889751      4.88285      10.5444 
     3.13349      11.2021      16.8636 
     2.45762      9.40399      15.0656 
     2.88631      9.85126      15.5129 
     2.68659      9.28608      14.9477 
    0.285973      2.34195      8.00354 
      2.2257      8.80883      14.4704 
     3.10987      11.9976      17.6592 
     1.40505      11.5653      17.2269 
     0.87785      4.80575      10.4673 
    0.848815      4.74252      10.4041 
     2.32297      10.3319      15.9935 
     1.93152      8.26372      13.9253 
    0.714348      4.05096      9.71255 
     2.75166      14.6778      20.3394 
     3.03837      11.9131      17.5747 
     3.05487      12.6161      18.2777 
     2.82106      9.50752      15.1691 
     2.32176      9.06542       14.727 
      1.3712      6.56232      12.2239 
     1.12165      5.77691      11.4385 
     3.17326      10.9628      16.6244 
     1.81275      8.10873      13.7703 
     1.87497       8.1614       13.823 
  -0.0930934   -0.0384621      5.62313 
     1.56481      7.32796      12.9896 
     2.23043      8.81453      14.4761 
    0.691248      3.90096      9.56255 
    0.628681      3.23162      8.89321 
     2.72764       10.019      15.6806 
     1.47886      7.12855      12.7901 
     3.17768       11.779      17.4406 
      1.0981      5.76896      11.4306 
     3.39396      12.0981      17.7597 
     2.34759      9.18351      14.8451 
     3.50973      11.8224      17.4839 
     1.28775      5.86047      11.5221 
     2.89207      10.4067      16.0683 
     1.19201      6.19645       11.858 
      3.0966      11.5142      17.1758 
     3.12921      11.5725      17.2341 
     1.99541      8.44439       14.106 
      2.9068      10.5696      16.2312 
     1.27903      6.53057      12.1922 
     2.89611      10.6366      16.2982 
     1.73084      7.67172      13.3333 
     2.16907      8.74012      14.4017 
     1.11497      5.77782      11.4394 
      3.4934      12.0949      17.7564 
     2.66757      9.98302      15.6446 
     1.07578      5.49468      11.1563 
     2.76669      10.1997      15.8613 
     2.91976      10.6218      16.2834 
     2.71875      9.93309      15.5947 
     2.91367      10.8564       16.518 
     2.45144      9.38045       15.042 
     3.43519      12.5465       18.208 
      3.1652      10.9443      16.6059 
     3.07026      10.3409      16.0024 
     3.02778      10.8309      16.4925 
     2.63207      9.92022      15.5818 
     3.69556      12.3949      18.0565 
     3.14386      11.5679      17.2295 
     3.32969      11.0183      16.6799 
    0.353727      2.59608      8.25767 
     3.43059      11.6829      17.3445 
     1.38163       6.7535      12.4151 
     2.82477      10.1491      15.8107 
     2.63391      9.89228      15.5539 
     2.50966      9.26134      14.9229 
     3.01073      10.8276      16.4892 
     3.26782      12.2148      17.8764 
     1.96854      8.33912      14.0007 
     2.13645      8.69445       14.356 
     1.48182      6.97121      12.6328 
     1.16425       6.0773      11.7389 
     3.10671       11.187      16.8486 
     2.71546      10.1614       15.823 
     2.86625      10.4578      16.1194 
     3.06205      10.8967      16.5583 
     3.50303      13.4113      19.0729 
     3.02031      10.8304      16.4919 
     2.72737      10.1868      15.8484 
     2.99596      11.0992      16.7608 
     2.91635      9.99894      15.6605 
     3.23847      11.7609      17.4224 
     2.76948      10.1598      15.8214 
     3.19342      11.7002      17.3618 
     3.05224      10.9726      16.6342 
     2.55777      8.91954      14.5811 
     2.49031      9.36618      15.0278 
     2.28889      8.87324      14.5348 
    0.763119      4.02951       9.6911 
     2.59164      9.70644       15.368 
     2.71471      10.0464       15.708 
     1.37956      6.80013      12.4617 
     3.32748      12.9483      18.6099 
     2.45375      9.43267      15.0943 
     2.98709      10.8994       16.561 
     1.44839      6.85422      12.5158 
     2.91735      10.9075      16.5691 
     3.08976      11.0879      16.7495 
     1.32748      6.66877      12.3304 
      2.2149      8.84706      14.5087 
     3.01168      10.8729      16.5345 
     2.55461      9.67278      15.3344 
     2.68454      10.0758      15.7374 
      1.7744      7.76973      13.4313 
     3.24009      13.7674       19.429 
     2.81417      10.4701      16.1317 
      3.1164      11.2007      16.8623 
     3.05412      11.2742      16.9358 
     3.47493      12.6794       18.341 
    0.664781      3.63816      9.29975 
     3.20033      10.9228      16.5844 
     2.98586       10.198      15.8596 
     3.10319      11.4108      17.0724 
     0.25673      2.12564      7.78723 
    0.918365      4.92071      10.5823 
     3.05674      11.7051      17.3667 
     2.92596      10.9721      16.6337 
     3.59703      12.9332      18.5948 
      3.1054      11.3505      17.0121 
     3.07186      11.3019      16.9635 
    0.670966      3.69275      9.35434 
     1.00587      5.22229      10.8839 
