!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Models calculated by Jeremy Heyl with Phoenix in March 2018; low T and high g various Z
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (characteristic of CCDs)
!
! HST ACS/WFC3 Bands / HST WFC3 Bands /  Johnson Bands / JWST NIRCAM Bands / GAIA / PanSTARRS / 2MASS
!
!                 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26                27                28                29                30                31                32                33                34                35                36                37                38                39                40                41                42                43                44                45                46                47                48                49                50                51                52                53                54                55                56                57                58                59                60                61                62                63                64                65                66                67                68                69                70                71                72                73                74                75                76                77                78                79                80                81                82
!              Teff              Logg             [M/H]             [a/H]         LambdaMax             F435W             F475W             F555W             F606W             F625W             F775W             F814W            F200LP             F218W             F225W             F275W             F300X             F336W             F390W             F438W             F475W             F475X             F555W            F600LP             F606W             F625W             F775W             F814W             F105W             F110W             F125W             F140W             F160W                 U                 B                 V                 R                 I                 J                 H                 K         F070W_NRC         F090W_NRC         F115W_NRC         F140M_NRC        F150W2_NRC         F150W_NRC         F162M_NRC         F164N_NRC         F182M_NRC         F187N_NRC         F200W_NRC         F210M_NRC         F212N_NRC         F250M_NRC         F277W_NRC         F300M_NRC        F322W2_NRC         F323N_NRC         F335M_NRC         F356W_NRC         F360M_NRC         F405N_NRC         F410M_NRC         F430M_NRC         F444W_NRC         F460M_NRC         F466N_NRC         F470N_NRC         F480M_NRC     GAIA_GAIA2r.G   GAIA_GAIA2r.Gbp   GAIA_GAIA2r.Grp  PAN-STARRS-PS1.g  PAN-STARRS-PS1.i  PAN-STARRS-PS1.r  PAN-STARRS-PS1.w  PAN-STARRS-PS1.y  PAN-STARRS-PS1.z     2MASS_2MASS.H     2MASS_2MASS.J    2MASS_2MASS.Ks
           2700.00              4.50             -1.50              0.40       9.99500e+06      -30.03134800      -30.98552773      -31.57001545      -32.11167314      -32.27624206      -35.12302687      -35.47641768      -33.41916151      -24.72169194      -25.72776777      -24.66683981      -26.40026109      -27.37131201      -28.55679322      -29.78488578      -31.02278448      -31.09778276      -31.51763454      -34.86421883      -32.07975065      -32.27429762      -35.07336175      -35.46762577      -36.71733865      -36.93532982      -37.19984371      -37.31761789      -37.47498157      -27.77191367      -30.13562187      -31.68616151      -34.05817196      -35.96533027      -37.13217392      -37.67713066      -37.81821392      -34.06870650      -36.14916950      -37.03808204      -37.15310241      -37.39442851      -37.40465861      -37.74878828      -37.84900552      -37.57173175      -37.50848769      -37.67063425      -37.79912208      -37.86803588      -37.75233289      -37.80571619      -37.89374985      -38.12583317      -38.15550228      -38.29895138      -38.44416448      -38.52407411      -38.67851164      -38.64838031      -38.58405305      -38.57470969      -38.47527617      -38.51537273      -38.50323459      -38.50203388      -34.21582080      -31.49307588      -35.33509309      -32.03854961      -34.96379498      -32.59450529      -33.59857905      -36.43195629      -35.99119088      -37.70450343      -37.25160673      -37.89857948
           2800.00              5.00             -1.50              0.40       9.99500e+06      -30.41831653      -31.40198461      -32.08216361      -32.62318896      -32.82962205      -35.40040904      -35.72595651      -33.69417982      -24.97472962      -25.96814309      -24.92012471      -26.61239881      -27.55509509      -28.71756855      -30.09695982      -31.44451773      -31.58913730      -32.02559776      -35.12251474      -32.59253589      -32.81844714      -35.35122694      -35.71669522      -36.86734338      -37.08555312      -37.34973266      -37.49057804      -37.64789957      -27.90244181      -30.51111585      -32.19917141      -34.37744513      -36.17630348      -37.28785075      -37.80904423      -37.90673026      -34.39873072      -36.34769703      -37.17599096      -37.37271291      -37.52956925      -37.58500084      -37.87042093      -37.95065633      -37.70465565      -37.65954210      -37.78422625      -37.89462627      -37.95422144      -37.85775424      -37.92508351      -38.01634567      -38.22549334      -38.26738213      -38.40240745      -38.52943635      -38.60598282      -38.74288587      -38.71314350      -38.65589277      -38.64009024      -38.54022124      -38.58337044      -38.57111756      -38.56973859      -34.48077388      -32.02409887      -35.57067098      -32.30864271      -35.23721921      -33.05610694      -33.92207384      -36.59894919      -36.21439144      -37.83141841      -37.38905761      -37.97340333
           2900.00              4.50             -1.50              0.40       9.99500e+06      -31.11636950      -31.99552057      -32.68786146      -33.21184327      -33.43623318      -35.61860026      -35.89485660      -34.00600142      -27.12149419      -31.40286503      -34.03052743      -33.50421848      -28.88741612      -29.88891397      -30.91599932      -32.03544876      -32.20620548      -32.62252422      -35.32557298      -33.18134902      -33.41825239      -35.57712560      -35.88651744      -36.95345783      -37.16548633      -37.42082597      -37.57521711      -37.75750677      -29.21620445      -31.20048296      -32.80173559      -34.68240688      -36.30092319      -37.36414758      -37.93809892      -38.11622001      -34.76559409      -36.45550548      -37.24721573      -37.48510700      -37.66065153      -37.69310628      -37.99081053      -38.08085318      -37.89379717      -37.85293292      -37.97949662      -38.08695903      -38.13681497      -38.07764826      -38.11800278      -38.17923849      -38.36419157      -38.37822563      -38.50062314      -38.62412731      -38.69346271      -38.83745295      -38.81229090      -38.77054761      -38.76140135      -38.69292763      -38.73040779      -38.71165871      -38.71240663      -34.69732282      -32.61086245      -35.74131075      -32.69457173      -35.47676298      -33.54929826      -34.23315266      -36.69874189      -36.33221931      -37.96136052      -37.45293089      -38.18084968
           2900.00              5.00             -1.50              0.40       9.99500e+06      -30.92078044      -31.85752677      -32.58902550      -33.12104423      -33.35178353      -35.61492377      -35.90410461      -34.46812477      -29.40331347      -33.89354625      -36.52595591      -35.99452636      -28.31598419      -29.38551551      -30.63401057      -31.90133597      -32.09245160      -32.52586136      -35.32397223      -33.09058998      -33.33512778      -35.57061263      -35.89572560      -36.96630003      -37.18248221      -37.44248653      -37.60123891      -37.77343446      -28.63585722      -31.00148409      -32.70308263      -34.65714071      -36.31676965      -37.38566539      -37.92965517      -38.05511922      -34.71753310      -36.47410547      -37.26355672      -37.51477240      -37.65117648      -37.71199754      -37.98257619      -38.06077632      -37.85905204      -37.82327744      -37.93549136      -38.03818365      -38.09033678      -38.01544165      -38.07333904      -38.14988091      -38.33832371      -38.37135447      -38.49672138      -38.61427654      -38.68549196      -38.81862961      -38.79147520      -38.74471248      -38.72911808      -38.64427816      -38.68587844      -38.67074463      -38.66984893      -34.69162984      -32.52608750      -35.74584725      -32.62936448      -35.46432197      -33.50503467      -34.20755397      -36.71278532      -36.35532307      -37.95056883      -37.47322774      -38.11612196
           2900.00              5.50             -1.50              0.40       9.99500e+06      -30.28049240      -31.27960708      -32.03317378      -32.58364471      -32.82135177      -35.17841020      -35.48247628      -33.47982620      -24.91358520      -27.47509780      -29.87896042      -29.40455700      -27.19811704      -28.34824216      -29.88735482      -31.32843805      -31.52673789      -31.97506253      -34.89170625      -32.55335577      -32.80428888      -35.13087306      -35.47381352      -36.54750951      -36.76675776      -37.03044243      -37.19015409      -37.34047918      -27.50133579      -30.36185697      -32.14863114      -34.19689661      -35.90272303      -36.97444087      -37.46057300      -37.52288535      -34.22866145      -36.06369403      -36.84622386      -37.11583824      -37.20079593      -37.28581526      -37.50940366      -37.57171564      -37.36516621      -37.33747086      -37.42496020      -37.51498569      -37.56264042      -37.49293380      -37.57481558      -37.67272355      -37.86084530      -37.92465633      -38.04768779      -38.15422615      -38.22534598      -38.34478773      -38.31679351      -38.26925768      -38.24559696      -38.14613539      -38.19350046      -38.18155046      -38.17924636      -34.25545020      -34.75122184      -35.35989292      -37.80879146      -38.12980275      -37.84153801      -36.62286651      -39.63958830      -38.70348489      -37.47772527      -37.05863775      -37.57457518
           3000.00              5.00             -1.50              0.40       9.99500e+06      -31.46592163      -32.35558611      -33.13166412      -33.65218118      -33.90505011      -35.86491029      -36.11695113      -34.20389034      -25.60485498      -26.37624007      -25.53258370      -27.86346072      -29.09495968      -30.05489968      -31.20261191      -32.39978956      -32.63334126      -33.06436808      -35.56884383      -33.62222851      -33.88307211      -35.82641861      -36.11008150      -37.09480244      -37.30655402      -37.56039087      -37.73410350      -37.91865835      -29.36538905      -31.53453538      -33.24118586      -34.98397133      -36.48946649      -37.50892647      -38.06930549      -38.20956644      -35.07338606      -36.63166357      -37.37879423      -37.67541816      -37.79140432      -37.85859827      -38.11543352      -38.19218826      -38.02550192      -38.00110876      -38.09552149      -38.18830013      -38.23231347      -38.17952905      -38.23115716      -38.29494181      -38.46083946      -38.48247755      -38.59767701      -38.70707120      -38.77327685      -38.90250394      -38.87755913      -38.83946562      -38.82540978      -38.75426401      -38.79434646      -38.77632735      -38.77683105      -34.94876046      -33.06559323      -35.95848810      -32.97259342      -35.72457752      -33.99105366      -34.53789657      -36.85216641      -36.52388494      -38.08903192      -37.58301377      -38.26449196
           3000.00              5.50             -1.50              0.40       9.99500e+06      -31.29590143      -32.23202617      -33.02931895      -33.56278878      -33.81760597      -35.87289617      -36.13633841      -34.19457926      -25.50039055      -26.38001412      -25.42559583      -27.42609224      -28.52455697      -29.54681886      -30.93959626      -32.28032480      -32.52149704      -32.96594816      -35.57528564      -33.53275750      -33.79655412      -35.83231398      -36.12982789      -37.11531215      -37.33046716      -37.58767721      -37.76350748      -37.93099875      -28.78288813      -31.35933493      -33.13753786      -34.96641136      -36.51437655      -37.53672772      -38.05220875      -38.13956300      -35.04005125      -36.65888178      -37.40097651      -37.71425894      -37.78100579      -37.87650966      -38.09485798      -38.15700762      -37.98824429      -37.97136801      -38.04498257      -38.12763632      -38.16885416      -38.11741072      -38.18855632      -38.26931653      -38.43420893      -38.48108658      -38.59520896      -38.69457615      -38.76055118      -38.87752089      -38.85167821      -38.81242184      -38.79144322      -38.70754620      -38.75233031      -38.73752067      -38.73687718      -34.94929109      -32.97516045      -35.97175862      -32.89413280      -35.72273397      -33.93101236      -34.51806070      -36.87226195      -36.55447910      -38.06866053      -37.60803709      -38.18691836
           3100.00              4.50             -1.50              0.40       9.99500e+06      -32.04704449      -32.85373108      -33.63038706      -34.15327640      -34.42782311      -36.06231138      -36.27897226      -34.46172720      -26.05953570      -26.59504410      -26.23456300      -28.80360117      -30.16051380      -31.00022733      -31.87258674      -32.89417908      -33.14751434      -33.56172661      -35.77974545      -34.12297776      -34.39668636      -36.02964377      -36.27269673      -37.18765742      -37.39256184      -37.63832675      -37.81994658      -38.01790307      -30.43092585      -32.11555402      -33.73937158      -35.27918431      -36.61550250      -37.59123825      -38.17864677      -38.37413180      -35.38942625      -36.74464750      -37.45841627      -37.77994579      -37.90697637      -37.95749818      -38.21739616      -38.29803389      -38.17959951      -38.16227059      -38.25184660      -38.33976755      -38.37403209      -38.36036366      -38.39581946      -38.44102027      -38.58377603      -38.58776063      -38.68841858      -38.79220434      -38.85118122      -38.98452768      -38.96251373      -38.93813309      -38.93052385      -38.88548736      -38.92170028      -38.89761973      -38.90097590      -35.17559695      -33.56857848      -36.13242206      -33.34820395      -35.94118609      -34.45477531      -34.83710875      -36.95606263      -36.64574897      -38.19841926      -37.65520238      -38.42347418
           3100.00              5.00             -1.50              0.40       9.99500e+06      -31.91499056      -32.76327812      -33.57385449      -34.08792031      -34.35957766      -36.07032283      -36.29396226      -34.44958402      -25.92990535      -26.58122902      -25.95423171      -28.45301043      -29.75798404      -30.62950231      -31.67490043      -32.80730197      -33.07585413      -33.50393033      -35.78006653      -34.05821495      -34.33321843      -36.03670057      -36.28844942      -37.20373783      -37.41147488      -37.65998405      -37.84642260      -38.04066634      -30.00459696      -31.97622006      -33.67983165      -35.26270604      -36.63385856      -37.61319139      -38.18607695      -38.34092417      -35.36630342      -36.76379025      -37.47650152      -37.80938291      -37.90995750      -37.98159021      -38.22581557      -38.29951640      -38.16610025      -38.15054540      -38.23178585      -38.31702763      -38.35445585      -38.31909731      -38.36480268      -38.41849404      -38.56677687      -38.58170429      -38.68749174      -38.78846290      -38.84979575      -38.97472363      -38.95145000      -38.92134208      -38.90800713      -38.84825410      -38.88729398      -38.86685289      -38.86823338      -35.17227017      -33.50830894      -36.13971734      -33.28843683      -35.94149202      -34.40903977      -34.82045475      -36.97143216      -36.66587975      -38.20453624      -37.67579672      -38.39029457
           3100.00              5.50             -1.50              0.40       9.99500e+06      -31.76158611      -32.65153121      -33.48265048      -33.99881585      -34.26683682      -36.07706191      -36.31012339      -34.43320526      -25.80452718      -26.57225344      -25.75434852      -28.03811146      -29.25736662      -30.17627387      -31.43732255      -32.69966972      -32.97368049      -33.41424050      -35.78031545      -33.96939422      -34.24366212      -36.04229828      -36.30558133      -37.22132824      -37.43191734      -37.68310609      -37.87181745      -38.05289046      -29.48111528      -31.81490610      -33.58624314      -35.24071106      -36.65427311      -37.63683939      -38.17421579      -38.28248213      -35.33676470      -36.78567711      -37.49557079      -37.84193667      -37.90199904      -37.99812144      -38.21148547      -38.27364799      -38.13611638      -38.12606007      -38.19075600      -38.26807851      -38.30435013      -38.26433541      -38.32646709      -38.39428662      -38.54268788      -38.57882327      -38.68481154      -38.77759642      -38.83901846      -38.95334627      -38.92900384      -38.89648215      -38.87702007      -38.80467506      -38.84783752      -38.83062431      -38.83090598      -35.16630855      -33.41957187      -36.14800497      -33.21286412      -35.93938702      -34.34193041      -34.79673826      -36.98810079      -36.68998159      -38.19002395      -37.69711759      -38.32655860
