                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.0000000000000002E-001      3.5565588199999998E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      398                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.9999999999997693E-001                  3.3252920959999500E+001                 -8.6413409443132441E+000                  6.1008351799333245E-005                  8.7747664975668815E-001                  2.4115998146735293E-004                  9.9999872504458087E-001                  9.3740739536122519E-001                  8.7747664975668815E-001                  2.4115998146735293E-004                  9.9999872504458087E-001                  9.3740739536122519E-001                 -2.0722465448008638E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722465448008638E+001                 -2.0722465448008638E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6762222120779851E+000                  2.4622469912198990E+000                  1.4019379079066059E+000                  1.5882560470392273E+000                 -5.4851587814754932E-001                  5.4778781859185193E+000                 -3.1518953675503765E+000                  1.0466082810650926E+001                 -3.1518953675503765E+000                  5.4778781859185193E+000                  5.9830665000997907E-001                  8.7466806668063835E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090997E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082119E-004                  1.6608019674660462E-003                  6.7439729118598224E-001                  2.2237813784781335E-001                                        0                                        0                                        9 
                                       2                                      394                  2.2000000000000003E-005                 -4.9208187539523749E+000                  8.9999999999994973E-001                  3.3252920959999486E+001                 -8.6428995789705887E+000                  6.1008159259792002E-005                  8.7747664975671491E-001                  2.4116002055519934E-004                  9.9999872504458087E-001                  9.3740739536248585E-001                  8.7747664975671491E-001                  2.4116002055519934E-004                  9.9999872504458087E-001                  9.3740739536248585E-001                 -2.0722503358192217E+001                 -9.8999999999999986E+001                 -3.6424629475341725E+001                 -2.0722503358192217E+001                 -2.0722503358192217E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6757899221739430E+000                  2.4604444237911940E+000                  1.4019012040003376E+000                  1.5883294548517506E+000                 -5.3319937020776120E-001                  5.4779255202900679E+000                 -3.1518237189599367E+000                  1.0466202154939038E+001                 -3.1518237189599367E+000                  5.4779255202900679E+000                  5.9830656497329104E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660467E-003                  6.1201394446082119E-004                  1.6608019674660458E-003                  6.7439729118596115E-001                  2.2237813784780627E-001                                        0                                        0                                        9 
                                       3                                      391                  3.6400000000000004E-005                 -4.8416375079047498E+000                  8.9999999999991709E-001                  3.3252920959999472E+001                 -8.6447388503055489E+000                  6.1007917536397196E-005                  8.7747664975674677E-001                  2.4116001203970208E-004                  9.9999872504458087E-001                  9.3740739536403539E-001                  8.7747664975674677E-001                  2.4116001203970208E-004                  9.9999872504458087E-001                  9.3740739536403539E-001                 -2.0722503375504221E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722503375504221E+001                 -2.0722503375504221E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6752869913319341E+000                  2.4583464177025731E+000                  1.4018580626400436E+000                  1.5884157375723227E+000                 -5.2246613112335283E-001                  5.4779255031638145E+000                 -3.1518236666554773E+000                  1.0466202189603514E+001                 -3.1518236666554773E+000                  5.4779255031638145E+000                  5.9830656501859369E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082141E-004                  1.6608019674660465E-003                  6.7439729118593827E-001                  2.2237813784779856E-001                                        0                                        0                                        9 
                                       4                                      385                  5.3680000000000001E-005                 -4.7624562618571247E+000                  8.9999999999987812E-001                  3.3252920959999450E+001                 -8.6468799977544464E+000                  6.1007614662906409E-005                  8.7747664975678474E-001                  2.4116001452588508E-004                  9.9999865332392013E-001                  9.3740739536593887E-001                  8.7747664975678474E-001                  2.4116001452588508E-004                  9.9999865332392013E-001                  9.3740739536593887E-001                 -2.0722503983658125E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722503983658125E+001                 -2.0722503983658125E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6746220083754304E+000                  2.4555812288371897E+000                  1.4018054341203603E+000                  1.5885209946116707E+000                 -5.3143374215272121E-001                  5.4779254544926932E+000                 -3.1518236552868975E+000                  1.0466202151513111E+001                 -3.1518236552868975E+000                  5.4779254544926932E+000                  5.9830656512181868E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082130E-004                  1.6608019674660462E-003                  6.7439729118590819E-001                  2.2237813784778898E-001                                        0                                        0                                        9 
                                       5                                      385                  7.4416000000000000E-005                 -4.6832750158095005E+000                  8.9999999999983160E-001                  3.3252920959999429E+001                 -8.6496978151394952E+000                  6.1007230615928095E-005                  8.7747664975683004E-001                  2.4116003072635885E-004                  9.9999865332392013E-001                  9.3740739536827111E-001                  8.7747664975683004E-001                  2.4116003072635885E-004                  9.9999865332392013E-001                  9.3740739536827111E-001                 -2.0722504007361604E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722504007361604E+001                 -2.0722504007361604E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6739184795281310E+000                  2.4526496473149946E+000                  1.4017467010538622E+000                  1.5886384607446444E+000                 -4.9454732178845956E-001                  5.4779254374370954E+000                 -3.1518235901199616E+000                  1.0466202199048803E+001                 -3.1518235901199616E+000                  5.4779254374370954E+000                  5.9830656516936576E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660467E-003                  6.1201394446082130E-004                  1.6608019674660462E-003                  6.7439729118587322E-001                  2.2237813784777730E-001                                        0                                        0                                        4 
                                       6                                      388                  9.9299199999999986E-005                 -4.6040937697618753E+000                  8.9999999999977631E-001                  3.3252920959999400E+001                 -8.6526881297281655E+000                  6.1006739387867242E-005                  8.7747664975688411E-001                  2.4116006372247652E-004                  9.9999865332392013E-001                  9.3740739537111972E-001                  8.7747664975688411E-001                  2.4116006372247652E-004                  9.9999865332392013E-001                  9.3740739537111972E-001                 -2.0722504047777605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722504047777605E+001                 -2.0722504047777605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6731415915907544E+000                  2.4494089574414812E+000                  1.4016801319918593E+000                  1.5887715988686237E+000                 -4.6746483777221737E-001                  5.4779254208805632E+000                 -3.1518235193586532E+000                  1.0466202252658054E+001                 -3.1518235193586532E+000                  5.4779254208805632E+000                  5.9830656521691639E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082141E-004                  1.6608019674660467E-003                  6.7439729118583180E-001                  2.2237813784776367E-001                                        0                                        0                                        7 
                                       7                                      390                  1.2915903999999998E-004                 -4.5249125237142502E+000                  8.9999999999971037E-001                  3.3252920959999372E+001                 -8.6559953886636549E+000                  6.1006104960656653E-005                  8.7747664975694828E-001                  2.4116011759517243E-004                  9.9999865332392013E-001                  9.3740739537458206E-001                  8.7747664975694828E-001                  2.4116011759517243E-004                  9.9999865332392013E-001                  9.3740739537458206E-001                 -2.0722504104680439E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722504104680439E+001                 -2.0722504104680439E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6722715574216758E+000                  2.4457775899790350E+000                  1.4016045165987923E+000                  1.5889228296547258E+000                 -4.4290450610414550E-001                  5.4779254058505256E+000                 -3.1518234429582890E+000                  1.0466202313428209E+001                 -3.1518234429582890E+000                  5.4779254058505256E+000                  5.9830656526234427E-001                  8.7466806668063846E-001                  1.2325479576122735E+000                  7.4933032353999995E-001                  2.4708681983091002E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082152E-004                  1.6608019674660465E-003                  6.7439729118578351E-001                  2.2237813784774754E-001                                        0                                        0                                        7 
                                       8                                      390                  1.6499084799999998E-004                 -4.4457312776666260E+000                  8.9999999999963198E-001                  3.3252920959999329E+001                 -8.6597023715191366E+000                  6.1005276818196644E-005                  8.7747664975702477E-001                  2.4116019794111028E-004                  9.9999865332392013E-001                  9.3740739537876361E-001                  8.7747664975702477E-001                  2.4116019794111028E-004                  9.9999865332392013E-001                  9.3740739537876361E-001                 -2.0722504176987254E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722504176987254E+001                 -2.0722504176987254E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6712811964117447E+000                  2.4416443431510779E+000                  1.4015186152046755E+000                  1.5890946324429212E+000                 -4.1977994867442986E-001                  5.4779253935558740E+000                 -3.1518233608977915E+000                  1.0466202382607323E+001                 -3.1518233608977915E+000                  5.4779253935558740E+000                  5.9830656530314197E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082141E-004                  1.6608019674660465E-003                  6.7439729118572367E-001                  2.2237813784772806E-001                                        0                                        0                                        6 
                                       9                                      389                  2.0798901759999997E-004                 -4.3665500316190009E+000                  8.9999999999953872E-001                  3.3252920959999287E+001                 -8.6639215197411730E+000                  6.1004183215677195E-005                  8.7747664975711559E-001                  2.4116031261592300E-004                  9.9999865332392013E-001                  9.3740739538377171E-001                  8.7747664975711559E-001                  2.4116031261592300E-004                  9.9999865332392013E-001                  9.3740739538377171E-001                 -2.0722504268772301E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0722504268772301E+001                 -2.0722504268772301E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6701640928054671E+000                  2.4369822103541243E+000                  1.4014217560187550E+000                  1.5892883508147173E+000                 -3.9500292381297603E-001                  5.4779253850170582E+000                 -3.1518232736358454E+000                  1.0466202460774760E+001                 -3.1518232736358454E+000                  5.4779253850170582E+000                  5.9830656533710391E-001                  8.7466806668063846E-001                  1.2325479576122738E+000                  7.4933032353999995E-001                  2.4708681983090999E-001                  6.1201394446082119E-004                  1.6608019674660465E-003                  6.1201394446082141E-004                  1.6608019674660465E-003                  6.7439729118565483E-001                  2.2237813784770502E-001                                        0                                        0                                        3 
