# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
001001  99.999  99.999  99.999  99.999  12.692   1.229  12.669   1.245  99.999  99.999  10.212   0.929   974  115  295.32796  +40.19525
002001  13.357   1.248   0.622   1.250  13.399   1.223  13.378   1.238  99.999  99.999  10.341   0.722   435  999  295.32887  +40.19472
003001  13.622   1.194   0.591   1.194  13.664   1.143  13.644   1.164  99.999  99.999  11.564   0.673   395  116  295.32817  +40.19856
004001  13.936   1.203   0.612   1.208  13.994   1.177  13.971   1.191  14.001   1.170  11.847   0.683   428  100  295.31562  +40.19333
011001  15.701   0.618   0.316   0.719  15.746   0.591  15.720   0.609  15.763   0.600  14.436   0.315   396  999  295.31879  +40.19817
013001  15.853   0.679   0.392   0.797  15.886   0.689  15.873   0.684  99.999  99.999  14.501   0.482   432  999  295.32496  +40.19478
015001  15.933   0.621   0.334   0.713  15.992   0.607  15.883   0.619  15.969   0.600  14.603   0.378   429  999  295.32025  +40.19536
001002  99.999  99.999  99.999  99.999  11.733   1.615  11.837   1.489  99.999  99.999   8.819   0.996   550  110  295.32104  +40.18106
003002  99.999  99.999  99.999  99.999  12.760   1.111  12.763   1.130  99.999  99.999  10.660   0.736   390  126  295.34162  +40.20058
004002  99.999  99.999  99.999  99.999  12.854   1.211  12.831   1.228  99.999  99.999  10.684   0.721   438  124  295.34112  +40.19683
005002  99.999  99.999  99.999  99.999  12.886   1.144  12.870   1.150  99.999  99.999  10.790   0.635   978   97  295.31150  +40.18356
006002  12.897   1.108   0.516   1.081  12.977   1.067  12.956   1.075  99.999  99.999  11.022   0.595   979  106  295.31637  +40.18653
008002  12.998   1.094   0.596   1.139  13.020   1.096  13.017   1.109  99.999  99.999  10.986   0.644   386  131  295.34354  +40.20094
009002  12.994   1.141   0.588   1.161  13.026   1.113  13.013   1.135  99.999  99.999  10.967   0.669   391  118  295.33892  +40.19922
010002  13.045   1.170   0.597   1.192  13.077   1.156  13.070   1.176  99.999  99.999  10.969   0.701   333   89  295.30646  +40.20572
011002  99.999  99.999  99.999  99.999  13.129   1.172  13.120   1.185  99.999  99.999  10.992   0.669   398   96  295.30604  +40.19894
012002  13.186   1.271   0.647   1.293  13.214   1.253  13.168   1.230  99.999  99.999  10.941   0.742   389  130  295.34067  +40.20311
013002  13.878   1.159   0.610   1.195  13.916   1.151  13.897   1.158  99.999  99.999  11.798   0.669   424   86  295.30342  +40.19150
014002  99.999  99.999  99.999  99.999  99.999  99.999  14.408   0.593  14.578   0.557  13.201   0.278   336  102  295.31804  +40.20878
015002  99.999  99.999  99.999  99.999  14.442   0.753  14.424   0.638  99.999  99.999  13.146   0.270   474  999  295.32796  +40.18425
